MMSI,Time,SOG,Longitude,Latitude,COG
1,19900101_051759,0,-14.612895,8.368005,3.4
1,19900101_051848,0,-14.612845,8.368035,359.8
1,19900101_051858,0,-14.612845,8.36803333,357.8
2,19900101_051920,11.5,-14.00422,8.250355,116
1,19900101_051927,0,-14.6128367,8.36801333,356.6
2,19900101_051929,11.6,-14.0035967,8.25015167,116
2,19900101_051939,11.5,-14.0028867,8.24992,115.7
3,19900101_051949,15.2,-14.19235,8.30498333,115.7
4,19900101_051953,14.3,-13.8543667,8.27815,278.9
3,19900101_052002,15.2,-14.1911333,8.30458333,116.1
1,19900101_052007,0,-14.6128833,8.36801,3.7
4,19900101_052018,14.3,-13.8566,8.2784,278.8
2,19900101_052020,11.5,-13.9999367,8.24894667,115.7
4,19900101_052030,14.3,-13.8577833,8.27851667,278.9
5,19900101_052033,8.7,-13.95058,8.22906833,117.9
4,19900101_052042,14.3,-13.85895,8.27865,278.8
3,19900101_052102,15.1,-14.1854833,8.30273333,116.8
596,19900101_052114,7.1,-14.01405,8.24054333,113.3
1,19900101_052159,0,-14.61285,8.36800333,359.4
3,19900101_052202,15,-14.1798167,8.30095,114.7
1,19900101_052218,0,-14.6128683,8.36801667,6.6
3,19900101_052226,14.9,-14.17765,8.30028333,115
714,19900101_052231,15.2,-14.0669317,8.26630333,115
714,19900101_052249,15,-14.0652167,8.26576833,114.7
5,19900101_052252,8.4,-13.942915,8.22702667,110.4
4,19900101_052253,14.3,-13.8718833,8.2799,277.4
2,19900101_052259,11.4,-13.988535,8.24523333,115.8
3,19900101_052302,15,-14.1741667,8.29921667,114.8
714,19900101_052313,15.1,-14.06292,8.26507167,113.6
1,19900101_052318,0,-14.612845,8.36797,3.3
714,19900101_052319,15.1,-14.06234,8.264905,113.1
3,19900101_052326,14.9,-14.1719833,8.29853333,114.7
1,19900101_052328,0,-14.612835,8.36799333,2.7
4,19900101_052329,14.3,-13.8754167,8.28018333,277
5,19900101_052333,8.4,-13.9405933,8.22654167,105.8
1,19900101_052337,0,-14.6128167,8.367955,4.9
3,19900101_052337,15,-14.17075,8.29816667,114.6
714,19900101_052342,15.1,-14.060025,8.26424,112.9
5,19900101_052343,8.4,-13.94015,8.22644167,106.3
714,19900101_052348,15,-14.0594483,8.26407333,113.4
1,19900101_052348,0,-14.612825,8.36797833,7.9
2,19900101_052349,11.4,-13.9850167,8.24413,114.9
3,19900101_052349,14.9,-14.1697167,8.29785,114.4
5,19900101_052352,8.4,-13.9396,8.226345,105.9
1,19900101_052358,0,-14.6128217,8.367995,1.8
2,19900101_052359,11.4,-13.984305,8.24390167,115.2
3,19900101_052401,15,-14.1684833,8.29746667,114.4
3,19900101_052407,15,-14.1679167,8.2973,114.2
5,19900101_052412,8.4,-13.93841,8.22613,105.3
596,19900101_052413,7,-14.0057067,8.238295,112
3,19900101_052413,15,-14.1673667,8.29713333,114.2
4,19900101_052417,14.3,-13.88015,8.28056667,277.4
1,19900101_052418,0,-14.61285,8.36803,359.2
